best_ask,best_ask_size,best_bid,best_bid_size,high_24h,last_size,low_24h,open_24h,price,product_id,sequence,side,time,trade_id,type,volume_24h,volume_30d,ema_price,ema_mid_price
3848.47,0.80896860,3848.27,0.00285842,3945.29,0.02534037,3827.27,3919.73,3848.47,ETH-USD,71802389438,buy,2024-12-14T20:26:04.546922Z,582439155,ticker,50436.54430293,4599089.23930245,0,0
3848.46,0.00215868,3848.45,2.55717687,3945.29,0.00000015,3827.27,3919.73,3848.45,ETH-USD,71802389932,sell,2024-12-14T20:26:05.702029Z,582439156,ticker,50436.54430308,4599089.23930260,793.849,793.85
3848.46,0.01434949,3848.45,3.44831965,3945.29,0.00033379,3827.27,3919.73,3848.45,ETH-USD,71802390299,sell,2024-12-14T20:26:06.538477Z,582439157,ticker,50436.54463687,4599089.23963639,1264.4,1264.4
3848.46,0.01434949,3848.45,3.44572103,3945.29,0.00259862,3827.27,3919.73,3848.45,ETH-USD,71802390302,sell,2024-12-14T20:26:06.555794Z,582439158,ticker,50436.54723549,4599089.24223501,1273.33,1273.33
3848.46,0.02717735,3848.45,3.44572103,3945.29,0.00008689,3827.27,3919.73,3848.46,ETH-USD,71802390347,buy,2024-12-14T20:26:06.933611Z,582439159,ticker,50436.54732238,4599089.24232190,1460.75,1460.75
3848.46,0.02687526,3848.45,3.44572103,3945.29,0.00030209,3827.27,3919.73,3848.46,ETH-USD,71802390349,buy,2024-12-14T20:26:06.933611Z,582439160,ticker,50436.54762447,4599089.24262399,1460.75,1460.75
3848.46,0.02674690,3848.45,3.44572103,3945.29,0.00012836,3827.27,3919.73,3848.46,ETH-USD,71802390351,buy,2024-12-14T20:26:06.933611Z,582439161,ticker,50436.54775283,4599089.24275235,1460.75,1460.75
3848.46,0.02510556,3848.45,4.63087446,3945.29,0.00164134,3827.27,3919.73,3848.46,ETH-USD,71802390678,buy,2024-12-14T20:26:08.253128Z,582439162,ticker,50436.54939417,4599089.24439369,2014.58,2014.58
3848.46,0.01291475,3848.45,4.63087446,3945.29,0.01219081,3827.27,3919.73,3848.46,ETH-USD,71802390680,buy,2024-12-14T20:26:08.253128Z,582439163,ticker,50436.56158498,4599089.25658450,2014.58,2014.58
3848.47,0.01159054,3848.45,4.63087446,3945.29,0.01291475,3827.27,3919.73,3848.46,ETH-USD,71802390682,buy,2024-12-14T20:26:08.253128Z,582439164,ticker,50436.57449973,4599089.26949925,2014.58,2014.58
3848.47,0.00302307,3848.45,4.63087446,3945.29,0.00856747,3827.27,3919.73,3848.47,ETH-USD,71802390684,buy,2024-12-14T20:26:08.253128Z,582439165,ticker,50436.58306720,4599089.27806672,2014.58,2014.58
3848.48,1.32239579,3848.45,4.63087446,3945.29,0.00302307,3827.27,3919.73,3848.47,ETH-USD,71802390686,buy,2024-12-14T20:26:08.253128Z,582439166,ticker,50436.58609027,4599089.28108979,2014.58,2014.58
3848.48,1.29993201,3848.45,4.63087446,3945.29,0.02246378,3827.27,3919.73,3848.48,ETH-USD,71802390688,buy,2024-12-14T20:26:08.253128Z,582439167,ticker,50436.60855405,4599089.30355357,2014.58,2014.58
3848.48,1.27763447,3848.45,4.63087446,3945.29,0.02229754,3827.27,3919.73,3848.48,ETH-USD,71802390690,buy,2024-12-14T20:26:08.253128Z,582439168,ticker,50436.63085159,4599089.32585111,2014.58,2014.58
3848.48,1.27461934,3848.47,3.50945827,3945.29,0.00301513,3827.27,3919.73,3848.48,ETH-USD,71802390754,buy,2024-12-14T20:26:08.484715Z,582439169,ticker,50436.63386672,4599089.32886624,2097.59,2097.59
3848.48,1.27461934,3848.47,5.56804084,3945.29,0.09624935,3827.27,3919.73,3848.47,ETH-USD,71802390765,sell,2024-12-14T20:26:08.524030Z,582439170,ticker,50436.73011607,4599089.42511559,2111.3,2111.3
3848.50,0.00153240,3848.47,5.95934619,3945.29,1.27461934,3827.27,3919.73,3848.48,ETH-USD,71802390813,buy,2024-12-14T20:26:08.953026Z,582439171,ticker,50438.00473541,4599090.69973493,2254.14,2254.14
3848.50,1.30146441,3848.49,0.87193707,3945.29,0.00000119,3827.27,3919.73,3848.49,ETH-USD,71802390860,sell,2024-12-14T20:26:08.986403Z,582439172,ticker,50438.00473660,4599090.69973612,2264.74,2264.74
3848.50,1.29993201,3848.49,0.87193707,3945.29,0.0015324,3827.27,3919.73,3848.5,ETH-USD,71802390881,buy,2024-12-14T20:26:09.101834Z,582439173,ticker,50438.00626900,4599090.70126852,2300.89,2300.89
3848.50,1.29078612,3848.49,0.87193707,3945.29,0.00914589,3827.27,3919.73,3848.5,ETH-USD,71802390883,buy,2024-12-14T20:26:09.101834Z,582439174,ticker,50438.01541489,4599090.71041441,2300.89,2300.89
3848.50,1.26948944,3848.49,3.09511568,3945.29,0.02574384,3827.27,3919.73,3848.5,ETH-USD,71802390910,buy,2024-12-14T20:26:09.232789Z,582439175,ticker,50438.04115873,4599090.73615825,2340.89,2340.89
3848.50,1.30014519,3848.49,2.89603687,3945.29,0.00335107,3827.27,3919.73,3848.5,ETH-USD,71802390945,buy,2024-12-14T20:26:09.703473Z,582439176,ticker,50438.04450980,4599090.73950932,2476.34,2476.34
3848.50,0.05013001,3848.49,2.89603687,3945.29,1.26169121,3827.27,3919.73,3848.5,ETH-USD,71802391004,buy,2024-12-14T20:26:10.267530Z,582439177,ticker,50439.30620101,4599092.00120053,2622.72,2622.72
3848.50,0.04568285,3848.49,2.89603687,3945.29,0.00444716,3827.27,3919.73,3848.5,ETH-USD,71802391006,buy,2024-12-14T20:26:10.267530Z,582439178,ticker,50439.31064817,4599092.00564769,2622.72,2622.72
3848.50,0.01224879,3848.49,2.89603687,3945.29,0.03343406,3827.27,3919.73,3848.5,ETH-USD,71802391008,buy,2024-12-14T20:26:10.267530Z,582439179,ticker,50439.34408223,4599092.03908175,2622.72,2622.72
3848.50,0.01167603,3848.49,2.89603687,3945.29,0.00057276,3827.27,3919.73,3848.5,ETH-USD,71802391010,buy,2024-12-14T20:26:10.267530Z,582439180,ticker,50439.34465499,4599092.03965451,2622.72,2622.72
3848.50,0.00865333,3848.49,2.89603687,3945.29,0.0030227,3827.27,3919.73,3848.5,ETH-USD,71802391012,buy,2024-12-14T20:26:10.267530Z,582439181,ticker,50439.34767769,4599092.04267721,2622.72,2622.72
3848.50,0.00008691,3848.49,2.89603687,3945.29,0.00856642,3827.27,3919.73,3848.5,ETH-USD,71802391014,buy,2024-12-14T20:26:10.267530Z,582439182,ticker,50439.35624411,4599092.05124363,2622.72,2622.72
3848.64,0.00100000,3848.49,2.89603687,3945.29,0.00008691,3827.27,3919.73,3848.5,ETH-USD,71802391016,buy,2024-12-14T20:26:10.267530Z,582439183,ticker,50439.35633102,4599092.05133054,2622.73,2622.72
3848.64,0.01460528,3848.63,4.89096814,3945.29,0.001,3827.27,3919.73,3848.64,ETH-USD,71802391172,buy,2024-12-14T20:26:10.875081Z,582439184,ticker,50439.35733102,4599092.05233054,2762.99,2762.99
3848.64,0.00207185,3848.63,4.89096814,3945.29,0.01253343,3827.27,3919.73,3848.64,ETH-USD,71802391174,buy,2024-12-14T20:26:10.875081Z,582439185,ticker,50439.36986445,4599092.06486397,2762.99,2762.99
3848.64,0.00176974,3848.63,4.89096814,3945.29,0.00030211,3827.27,3919.73,3848.64,ETH-USD,71802391176,buy,2024-12-14T20:26:10.875081Z,582439186,ticker,50439.37016656,4599092.06516608,2762.99,2762.99
3848.64,0.00001528,3848.63,4.89096814,3945.29,0.00175446,3827.27,3919.73,3848.64,ETH-USD,71802391178,buy,2024-12-14T20:26:10.875081Z,582439187,ticker,50439.37192102,4599092.06692054,2762.99,2762.99
3849.10,0.00109440,3848.63,6.58143708,3945.29,0.00001528,3827.27,3919.73,3848.64,ETH-USD,71802391364,buy,2024-12-14T20:26:10.991719Z,582439188,ticker,50439.37193630,4599092.06693582,2788.02,2788.03
3849.10,0.00109479,3849.09,1.29848863,3945.29,0.0005197,3827.27,3919.73,3849.09,ETH-USD,71802391742,sell,2024-12-14T20:26:11.103506Z,582439189,ticker,50439.37245600,4599092.06745552,2811.48,2811.49
3849.10,2.37856288,3849.09,1.30134644,3945.29,0.15115262,3827.27,3919.73,3849.1,ETH-USD,71802391933,buy,2024-12-14T20:26:11.423786Z,582439190,ticker,50439.52360862,4599092.21860814,2875.87,2875.87
3849.10,1.32383852,3849.09,1.95998553,3945.29,0.01136091,3827.27,3919.73,3849.09,ETH-USD,71802392055,sell,2024-12-14T20:26:12.141357Z,582439191,ticker,50439.53496953,4599092.22996905,3005.98,3005.98
3849.10,3.56806785,3849.09,1.28998528,3945.29,0.00000025,3827.27,3919.73,3849.09,ETH-USD,71802392092,sell,2024-12-14T20:26:12.454969Z,582439192,ticker,50439.53496978,4599092.22996930,3057.24,3057.24
3849.10,3.56806785,3849.09,0.00027697,3945.29,0.00258084,3827.27,3919.73,3849.09,ETH-USD,71802392248,sell,2024-12-14T20:26:13.344025Z,582439193,ticker,50439.53755062,4599092.23255014,3186.23,3186.23
3849.10,3.56864053,3849.08,1.85471385,3945.29,0.01275158,3827.27,3919.73,3849.08,ETH-USD,71802392420,sell,2024-12-14T20:26:14.488464Z,582439194,ticker,50439.55030220,4599092.24530172,3321.84,3321.84
3849.10,3.55802308,3849.09,1.29900833,3945.29,0.01171703,3827.27,3919.73,3849.1,ETH-USD,71802392488,buy,2024-12-14T20:26:14.990135Z,582439195,ticker,50439.56201923,4599092.25701875,3372.17,3372.18
3849.10,3.54401373,3849.09,1.29900833,3945.29,0.01400935,3827.27,3919.73,3849.1,ETH-USD,71802392490,buy,2024-12-14T20:26:14.990135Z,582439196,ticker,50439.57602858,4599092.27102810,3372.17,3372.18
3849.10,3.56305290,3849.09,1.29900833,3945.29,0.00041934,3827.27,3919.73,3849.1,ETH-USD,71802392500,buy,2024-12-14T20:26:15.104962Z,582439197,ticker,50439.57644792,4599092.27144744,3383,3383
3849.10,1.15418422,3849.09,1.30186614,3945.29,0.17728752,3827.27,3919.73,3849.1,ETH-USD,71802392525,buy,2024-12-14T20:26:15.505867Z,582439198,ticker,50439.75373544,4599092.44873496,3418.91,3418.92
